UNC_MOD1824	S11797
UW_EPIC_351	S76281
JHU_TSS_145_1192_1	S85658
UNC_MOD0451	S19098
UW_EPIC_3517	S63471
UW_EPIC_3245	S32727
UNC_MOD1834	S68100
JHU_TSS_556_1938_1	S19526
UNC_MOD0591	S59543
JHU_TSS_826_2435_1	S86579
JHU_TSS_767_2331_1	S28019
JHU_CFRD_515_10575_1	S29889
UNC_MOD1092	S13186
UNC_MOD0625	S86426
JHU_TSS_246_1354_1	S31735
JHU_TSS_829_2441_1	S44478
JHU_TSS_44_1021_1	S94486
UNC_MOD2631	S49765
JHU_TSS_991_2759_1	S53545
JHU_TSS_187_1249_1	S67275
UNC_MOD1532	S55505
JHU_CFRD_116_10144_1	S93157
UW_EPIC_158	S48568
JHU_TSS_157_1206_1	S85602
JHU_CFRD_537_10597_1	S72694
UNC_MOD1450	S39129
UNC_MOD0101	S57867
UNC_MOD1529	S89542
JHU_TSS_202_1275_1	S64596
JHU_TSS_394_1629_1	S43733
UNC_CFLD4008	S24504
UW_EPIC_4329	S55722
JHU_CFRD_335_10395_1	S96794
UNC_MOD0019	S39448
UNC_MOD0715	S60933
UW_EPIC_2622	S74806
JHU_TSS_606_2033_1	S99735
JHU_TSS_946_2672_1	S27709
UW_EPIC_4192	S68350
UW_EPIC_151	S35257
UNC_CFLD9912	S82400
JHU_TSS_396_1635_1	S96131
JHU_TSS_787_2375_1	S32440
JHU_TSS_251_1362_1	S89588
JHU_TSS_980_2738_1	S44212
JHU_TSS_571_192_1	S14019
JHU_CFRD_216_10270_1	S37017
JHU_CFRD_470_10530_1	S66199
UNC_MOD2524	S71987
UW_EPIC_3101	S42223
JHU_TSS_144_1190_1	S25622
JHU_TSS_227_1322_1	S22712
JHU_TSS_704_2265_1	S49980
UNC_MOD2670	S25589
UNC_MOD0104	S31470
JHU_TSS_37_62_1	S55575
UNC_MOD2632	S92353
UNC_MOD2333	S46601
JHU_TSS_636_2088_1	S49464
JHU_TSS_607_2036_1	S16178
UW_EPIC_2105	S24132
UW_EPIC_2675	S40717
JHU_TSS_697_2192_1	S27752
UW_EPIC_1709	S97373
UW_EPIC_2536	S50022
JHU_TSS_64_1055_1	S60007
UW_EPIC_35780	S29421
UNC_MOD0333	S10003
UW_EPIC_1509	S21228
UNC_MOD0872	S97517
JHU_BL_11_1	S12067
JHU_TSS_709_2216_1	S91304
JHU_TSS_188_1250_1	S84206
UW_EPIC_386	S54844
UNC_MOD1867	S22602
JHU_TSS_952_2686_1	S90840
UW_EPIC_460	S26541
UNC_MOD2705	S67147
UW_EPIC_4135	S29701
UNC_MOD1449	S60903
UW_EPIC_1931	S43355
UW_EPIC_262	S89770
JHU_TSS_701_2320_1	S80707
UNC_MOD1159	S56368
JHU_TSS_800_2394_1	S61839
UNC_MOD0150	S26758
JHU_TSS_556_1939_1	S75763
