pid	sid	vcf_id
P19757	S71313	UNC_MOD2489
P19759	S49322	UW_EPIC_2469
P19767	S15116	JHU_TSS_429_168_1
P19781	S57424	UW_EPIC_13617
P19791	S61743	JHU_TSS_583_195_1
P19792	S73485	JHU_TSS_692_2199_1
P19796	S12181	JHU_TSS_617_2092_1
P19797	S68032	JHU_TSS_740_2275_1
P19849	S11797	UNC_MOD1824
P19906	S76281	UW_EPIC_351
P19915	S85658	JHU_TSS_145_1192_1
P19934	S19098	UNC_MOD0451
P19935	S63471	UW_EPIC_3517
P19947	S32727	UW_EPIC_3245
P19964	S68100	UNC_MOD1834
P19968	S19526	JHU_TSS_556_1938_1
P19971	S59543	UNC_MOD0591
P19999	S86579	JHU_TSS_826_2435_1
P20006	S28019	JHU_TSS_767_2331_1
P20009	S29889	JHU_CFRD_515_10575_1
P20065	S13186	UNC_MOD1092
P20068	S86426	UNC_MOD0625
P20093	S31735	JHU_TSS_246_1354_1
P20100	S44478	JHU_TSS_829_2441_1
P20155	S94486	JHU_TSS_44_1021_1
P20166	S49765	UNC_MOD2631
P20173	S53545	JHU_TSS_991_2759_1
P20197	S67275	JHU_TSS_187_1249_1
P20207	S55505	UNC_MOD1532
P20221	S93157	JHU_CFRD_116_10144_1
P20245	S48568	UW_EPIC_158
P20248	S85602	JHU_TSS_157_1206_1
P20256	S72694	JHU_CFRD_537_10597_1
P20265	S39129	UNC_MOD1450
P20279	S57867	UNC_MOD0101
P20290	S89542	UNC_MOD1529
P20304	S64596	JHU_TSS_202_1275_1
P20328	S43733	JHU_TSS_394_1629_1
P20348	S24504	UNC_CFLD4008
P20379	S55722	UW_EPIC_4329
P20380	S96794	JHU_CFRD_335_10395_1
P20382	S39448	UNC_MOD0019
P20383	S60933	UNC_MOD0715
P20403	S74806	UW_EPIC_2622
P20426	S99735	JHU_TSS_606_2033_1
P20476	S27709	JHU_TSS_946_2672_1
P20478	S68350	UW_EPIC_4192
P20549	S35257	UW_EPIC_151
P20580	S82400	UNC_CFLD9912
P20649	S96131	JHU_TSS_396_1635_1
P20666	S32440	JHU_TSS_787_2375_1
P20678	S89588	JHU_TSS_251_1362_1
P20720	S44212	JHU_TSS_980_2738_1
P20767	S14019	JHU_TSS_571_192_1
P20785	S37017	JHU_CFRD_216_10270_1
P20807	S66199	JHU_CFRD_470_10530_1
P20809	S71987	UNC_MOD2524
P20816	S42223	UW_EPIC_3101
P20838	S25622	JHU_TSS_144_1190_1
P20855	S22712	JHU_TSS_227_1322_1
P20864	S25821	JHU_TSS_753_2309_1
P20864	S62681	JHU_TSS_786_2370_1
P20881	S49980	JHU_TSS_704_2265_1
P20883	S25589	UNC_MOD2670
P20892	S31470	UNC_MOD0104
P20960	S55575	JHU_TSS_37_62_1
P20965	S92353	UNC_MOD2632
P20968	S46601	UNC_MOD2333
P20970	S49464	JHU_TSS_636_2088_1
P20973	S16178	JHU_TSS_607_2036_1
P20983	S24132	UW_EPIC_2105
P20986	S40717	UW_EPIC_2675
P21002	S27752	JHU_TSS_697_2192_1
P21049	S97373	UW_EPIC_1709
P21062	S50022	UW_EPIC_2536
P21075	S60007	JHU_TSS_64_1055_1
P21092	S29421	UW_EPIC_35780
P21109	S10003	UNC_MOD0333
P21125	S21228	UW_EPIC_1509
P21148	S97517	UNC_MOD0872
P21150	S12067	JHU_BL_11_1
P21158	S91304	JHU_TSS_709_2216_1
P21164	S84206	JHU_TSS_188_1250_1
P21179	S54844	UW_EPIC_386
P21230	S22602	UNC_MOD1867
P21244	S90840	JHU_TSS_952_2686_1
P21246	S26541	UW_EPIC_460
P21263	S67147	UNC_MOD2705
P21270	S29701	UW_EPIC_4135
P21327	S60903	UNC_MOD1449
P21337	S43355	UW_EPIC_1931
P21342	S89770	UW_EPIC_262
P21345	S80707	JHU_TSS_701_2320_1
P21398	S56368	UNC_MOD1159
P21400	S61839	JHU_TSS_800_2394_1
P21430	S26758	UNC_MOD0150
P21438	S75763	JHU_TSS_556_1939_1
P21439	S39901	UNC_MOD0705
P21445	S12575	JHU_TSS_184_1243_1
P21511	S94510	JHU_TSS_995_2766_1
P21520	S36023	JHU_CFRD_228_10282_1
P21529	S48385	UNC_MOD1793
P21588	S47834	UNC_MOD2067
P21594	S56341	JHU_CFRD_329_10387_1
P21635	S26244	JHU_TSS_420_1681_1
P21657	S74134	UW_EPIC_35211_1
P21677	S27725	JHU_TSS_362_1572_1
P21681	S22723	UNC_MOD0638
P21699	S38421	UW_EPIC_2615
P21704	S91746	UW_EPIC_8586
P21711	S53809	JHU_TSS_769_2336_1
P21755	S11975	UNC_MOD0562
P21761	S82195	UNC_MOD0493
P21766	S98012	JHU_TSS_176_112_1
P21774	S16285	UNC_MOD1838
P21779	S15385	UNC_MOD0598
P21811	S49344	UNC_MOD0435
P21834	S57639	UNC_MOD2709
P21840	S88024	UW_EPIC_118
P21845	S65917	UNC_MOD2673
P21848	S47624	UNC_MOD2205
P21867	S88786	JHU_TSS_994_2896_1
P21885	S65958	JHU_TSS_415_1670_1
P21894	S88032	UNC_MOD2085
P21896	S31748	UW_EPIC_373
P21935	S87327	UNC_MOD1613
P21943	S55394	UNC_MOD1381
